SentrixBarcode_A	SentrixPosition_A	Sample_Group	hd_id	gw_id
5460461119	R03C01	NA19761	5460461119_R03C01.txt	gw6.NA19761
5443767133	R02C01	NA20524	5443767133_R02C01.txt	gw6.NA20524
5434078009	R04C01	NA18645	5434078009_R04C01.txt	gw6.NA18645
6298039031	R01C01	HG01029	6298039031_R01C01.txt	gw6.HG01029
5460479008	R04C01	NA18966	5460479008_R04C01.txt	gw6.NA18966
6317383034	R03C01	HG01894	6317383034_R03C01.txt	gw6.HG01894
5434078080	R02C01	HG01054	5434078080_R02C01.txt	gw6.HG01054
5473245010	R02C01	NA18627	5473245010_R02C01.txt	gw6.NA18627
5434078004	R04C01	NA20756	5434078004_R04C01.txt	gw6.NA20756
5426529067	R03C01	HG00269	5426529067_R03C01.txt	gw6.HG00269
5826291146	R04C01	HG01917	5826291146_R04C01.txt	gw6.HG01917
5434246028	R02C01	HG00707	5434246028_R02C01.txt	gw6.HG00707
5460461030	R03C01	NA19190	5460461030_R03C01.txt	gw6.NA19190
5826371042	R01C01	HG02139	5826371042_R01C01.txt	gw6.HG02139
5434203056	R01C01	HG00349	5434203056_R01C01.txt	gw6.HG00349
5426529119	R02C01	NA20535	5426529119_R02C01.txt	gw6.NA20535
5434203051	R04C01	HG00171	5434203051_R04C01.txt	gw6.HG00171
5426529071	R04C01	NA19436	5426529071_R04C01.txt	gw6.NA19436
6288236027	R02C01	HG02371	6288236027_R02C01.txt	gw6.HG02371
5434203127	R02C01	HG01148	5434203127_R02C01.txt	gw6.HG01148
6317391007	R02C01	HG02511	6317391007_R02C01.txt	gw6.HG02511
5443767109	R02C01	NA18940	5443767109_R02C01.txt	gw6.NA18940
5528550079	R01C01	NA19319	5528550079_R01C01.txt	gw6.NA19319
5434246078	R02C01	HG01204	5434246078_R02C01.txt	gw6.HG01204
5434246024	R03C01	NA18984	5434246024_R03C01.txt	gw6.NA18984
5460444025	R04C01	HG00277	5460444025_R04C01.txt	gw6.HG00277
5826362027	R01C01	HG01771	5826362027_R01C01.txt	gw6.HG01771
5460461062	R01C01	HG00731	5460461062_R01C01.txt	gw6.HG00731
5767788035	R01C01	NA20885	5767788035_R01C01.txt	gw6.NA20885
5434203053	R01C01	NA12275	5434203053_R01C01.txt	gw6.NA12275
5460461104	R03C01	NA18965	5460461104_R03C01.txt	gw6.NA18965
5434203042	R04C01	NA19003	5434203042_R04C01.txt	gw6.NA19003
5443767123	R04C01	HG01198	5443767123_R04C01.txt	gw6.HG01198
5460461121	R01C01	HG00355	5460461121_R01C01.txt	gw6.HG00355
5434203063	R02C01	HG00376	5434203063_R02C01.txt	gw6.HG00376
5443767139	R03C01	HG01518	5443767139_R03C01.txt	gw6.HG01518
6288631090	R02C01	NA21107	6288631090_R02C01.txt	gw6.NA21107
5767788009	R01C01	HG01773	5767788009_R01C01.txt	gw6.HG01773
5528550082	R03C01	NA19759	5528550082_R03C01.txt	gw6.NA19759
5460461017	R03C01	NA19390	5460461017_R03C01.txt	gw6.NA19390
5426529008	R03C01	HG00261	5426529008_R03C01.txt	gw6.HG00261
5460452065	R03C01	NA19317	5460452065_R03C01.txt	gw6.NA19317
5443767136	R01C01	HG00190	5443767136_R01C01.txt	gw6.HG00190
5434203066	R04C01	HG00246	5434203066_R04C01.txt	gw6.HG00246
5434203052	R03C01	NA18993	5434203052_R03C01.txt	gw6.NA18993
5460479124	R01C01	NA19383	5460479124_R01C01.txt	gw6.NA19383
5434078101	R03C01	HG00739	5434078101_R03C01.txt	gw6.HG00739
5434203129	R03C01	HG00596	5434203129_R03C01.txt	gw6.HG00596
5460461031	R03C01	HG01275	5460461031_R03C01.txt	gw6.HG01275
5443767009	R02C01	HG01537	5443767009_R02C01.txt	gw6.HG01537
5443767096	R01C01	HG01082	5443767096_R01C01.txt	gw6.HG01082
5443767128	R02C01	NA18523	5443767128_R02C01.txt	gw6.NA18523
5460444039	R02C01	NA12400	5460444039_R02C01.txt	gw6.NA12400
5826354153	R02C01	HG02076	5826354153_R02C01.txt	gw6.HG02076
